,Id,Top-Left,Bottom-Right,Centre,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box,Cluster
218,218,"(578, 1463)","(624, 1528)","[601.0, 1495.5]","[601.0, 1463]","[601.0, 1528]","[578, 1495.5]","[624, 1495.5]","[128.58946302088674, 219]","[136.73423126635114, 202]","[140.80127840328723, 196]","[162.15193492524224, 209]",4
219,219,"(641, 1470)","(807, 1531)","[724.0, 1500.5]","[724.0, 1470]","[724.0, 1531]","[641, 1500.5]","[807, 1500.5]","[155.46703830716015, 220]","[148.77163708180402, 212]","[167.09278859364338, 202]","[113.53964065470703, 210]",4
220,220,"(822, 1466)","(928, 1548)","[875.0, 1507.0]","[875.0, 1466]","[875.0, 1548]","[822, 1507.0]","[928, 1507.0]","[127.29689705566275, 221]","[129.89707463988555, 213]","[165.89454481688057, 212]","[172.44781819437438, 211]",4
221,221,"(945, 1480)","(1042, 1545)","[993.5, 1512.5]","[993.5, 1480]","[993.5, 1545]","[945, 1512.5]","[1042, 1512.5]","[136.4047286570374, 222]","[121.02582369064876, 214]","[171.74690681348528, 213]","[178.05897899291685, 215]",4
222,222,"(1061, 1473)","(1194, 1538)","[1127.5, 1505.5]","[1127.5, 1473]","[1127.5, 1538]","[1061, 1505.5]","[1194, 1505.5]","[233.54068168094398, 214]","[209.5053698595814, 232]","[186.00604828875862, 220]","[322.5523213371747, 240]",4
223,223,"(1390, 1606)","(1443, 1671)","[1416.5, 1638.5]","[1416.5, 1606]","[1416.5, 1671]","[1390, 1638.5]","[1443, 1638.5]","[83.00602387778854, 224]","[187.63062116829437, 182]","[218.2939531915623, 183]","[242.4340116402812, 177]",16
224,224,"(1450, 1596)","(1537, 1678)","[1493.5, 1637.0]","[1493.5, 1596]","[1493.5, 1678]","[1450, 1637.0]","[1537, 1637.0]","[202.72210042321484, 177]","[271.0226005336086, 184]","[268.6010052103305, 178]","[290.1400523884974, 179]",16
225,225,"(307, 1695)","(447, 1784)","[377.0, 1739.5]","[377.0, 1695]","[377.0, 1784]","[307, 1739.5]","[447, 1739.5]","[111.94306588619055, 197]","[47.13013897709193, 234]","[77.0730173277263, 233]","[57.002192940272046, 226]",4
226,226,"(459, 1706)","(549, 1774)","[504.0, 1740.0]","[504.0, 1706]","[504.0, 1774]","[459, 1740.0]","[549, 1740.0]","[109.5673308974897, 227]","[59.77039400907442, 235]","[88.24539648049637, 234]","[124.66956324620698, 228]",4
227,227,"(568, 1719)","(636, 1791)","[602.0, 1755.0]","[602.0, 1719]","[602.0, 1791]","[568, 1755.0]","[636, 1755.0]","[76.60613552451265, 228]","[72.22534181296756, 235]","[124.55520864259351, 236]","[111.32497473613007, 229]",4
228,228,"(653, 1709)","(694, 1784)","[673.5, 1746.5]","[673.5, 1709]","[673.5, 1784]","[653, 1746.5]","[694, 1746.5]","[82.5136352368504, 229]","[38.00328933131973, 236]","[138.81372410536358, 235]","[137.5081815747703, 230]",4
229,229,"(708, 1719)","(786, 1774)","[747.0, 1746.5]","[747.0, 1719]","[747.0, 1774]","[708, 1746.5]","[786, 1746.5]","[88.40955830678038, 230]","[88.20430828479978, 236]","[128.5496013218244, 202]","[84.38009243891595, 237]",4
230,230,"(800, 1706)","(863, 1784)","[831.5, 1745.0]","[831.5, 1706]","[831.5, 1784]","[800, 1745.0]","[863, 1745.0]","[112.50999955559506, 237]","[116.09048195265622, 231]","[148.51935900750448, 236]","[118.5379686007821, 238]",4
231,231,"(877, 1712)","(1008, 1788)","[942.5, 1750.0]","[942.5, 1712]","[942.5, 1788]","[877, 1750.0]","[1008, 1750.0]","[107.35222401049734, 238]","[90.41708909271522, 239]","[83.07376240426336, 237]","[99.06184936694852, 232]",4
232,232,"(1022, 1716)","(1192, 1777)","[1107.0, 1746.5]","[1107.0, 1716]","[1107.0, 1777]","[1022, 1746.5]","[1192, 1746.5]","[112.45110048372136, 240]","[95.01578816175763, 239]","[84.59462157844315, 214]","[154.45549520816667, 281]",4
233,233,"(309, 1777)","(360, 1846)","[334.5, 1811.5]","[334.5, 1777]","[334.5, 1846]","[309, 1811.5]","[360, 1811.5]","[86.76404785393545, 234]","[54.207932998777956, 270]","[165.2044188271004, 271]","[160.77390957490584, 226]",4
234,234,"(363, 1774)","(462, 1856)","[412.5, 1815.0]","[412.5, 1774]","[412.5, 1856]","[363, 1815.0]","[462, 1815.0]","[120.60265337047937, 200]","[56.85068161420758, 271]","[84.83660766438035, 270]","[75.97697019492156, 235]",4
235,235,"(471, 1784)","(604, 1863)","[537.5, 1823.5]","[537.5, 1784]","[537.5, 1863]","[471, 1823.5]","[604, 1823.5]","[123.4908903522847, 272]","[54.42655601817921, 273]","[79.74020316001207, 271]","[69.01630242196404, 236]",4
236,236,"(616, 1788)","(730, 1856)","[673.0, 1822.0]","[673.0, 1788]","[673.0, 1856]","[616, 1822.0]","[730, 1822.0]","[120.40037375357271, 275]","[59.405386961116584, 274]","[94.6176516301266, 273]","[100.06123125366787, 237]",4
237,237,"(742, 1788)","(918, 1849)","[830.0, 1818.5]","[830.0, 1788]","[830.0, 1849]","[742, 1818.5]","[918, 1818.5]","[128.56224173527778, 213]","[119.68813642128445, 279]","[91.92388155425118, 275]","[38.0, 238]",4
238,238,"(933, 1788)","(979, 1849)","[956.0, 1818.5]","[956.0, 1788]","[956.0, 1849]","[933, 1818.5]","[979, 1818.5]","[78.29431652425353, 239]","[69.82299048307799, 279]","[165.00075757401842, 214]","[137.64446955835166, 280]",4
239,239,"(989, 1791)","(1061, 1859)","[1025.0, 1825.0]","[1025.0, 1791]","[1025.0, 1859]","[989, 1825.0]","[1061, 1825.0]","[119.5041840271712, 240]","[76.37571603592336, 280]","[106.50469473220417, 279]","[129.68519576266212, 281]",4
240,240,"(1076, 1798)","(1204, 1849)","[1140.0, 1823.5]","[1140.0, 1798]","[1140.0, 1849]","[1076, 1823.5]","[1204, 1823.5]","[104.67688379007086, 281]","[80.9830229122129, 280]","[120.10412149464314, 238]","[161.67405481399913, 286]",4
241,241,"(1496, 1798)","(1586, 1866)","[1541.0, 1832.0]","[1541.0, 1798]","[1541.0, 1866]","[1496, 1832.0]","[1586, 1832.0]","[120.15406776301833, 242]","[56.931976954959154, 288]","[106.74502330319667, 287]","[98.73702446397704, 289]",13
242,242,"(1590, 1812)","(1714, 1876)","[1652.0, 1844.0]","[1652.0, 1812]","[1652.0, 1876]","[1590, 1844.0]","[1714, 1844.0]","[93.34077351297235, 243]","[39.56008088970496, 289]","[96.42743385572386, 288]","[76.9236634593023, 290]",13
243,243,"(1723, 1801)","(1760, 1876)","[1741.5, 1838.5]","[1741.5, 1801]","[1741.5, 1876]","[1723, 1838.5]","[1760, 1838.5]","[62.61988502065458, 244]","[37.26258176777342, 290]","[111.46411978749036, 289]","[129.1636558788888, 245]",13
244,244,"(1767, 1801)","(1827, 1859)","[1797.0, 1830.0]","[1797.0, 1801]","[1797.0, 1859]","[1767, 1830.0]","[1827, 1830.0]","[97.082439194738, 245]","[71.87663041629038, 290]","[115.84903970253703, 242]","[137.6635391089449, 291]",13
245,245,"(1837, 1805)","(1941, 1859)","[1889.0, 1832.0]","[1889.0, 1805]","[1889.0, 1859]","[1837, 1832.0]","[1941, 1832.0]","[124.4357263811322, 291]","[126.72509617277866, 246]","[119.26546021376012, 290]","[115.96551211459379, 292]",13
246,246,"(1955, 1801)","(2069, 1856)","[2012.0, 1828.5]","[2012.0, 1801]","[2012.0, 1856]","[1955, 1828.5]","[2069, 1828.5]","[113.53413583587978, 292]","[107.05722768687782, 291]","[158.00712009273505, 244]","[89.96110270555825, 293]",13
247,247,"(2079, 1798)","(2282, 1859)","[2180.5, 1828.5]","[2180.5, 1798]","[2180.5, 1859]","[2079, 1828.5]","[2282, 1828.5]","[117.5, 294]","[88.61433292645158, 295]","[67.0, 246]","[166.746064421323, 255]",13
248,248,"(1392, 1962)","(1474, 2023)","[1433.0, 1992.5]","[1433.0, 1962]","[1433.0, 2023]","[1392, 1992.5]","[1474, 1992.5]","[46.63153439465616, 287]","[68.28067076413353, 256]","[133.0460446612375, 249]","[92.19544457292888, 288]",13
249,249,"(1496, 1958)","(1554, 2020)","[1525.0, 1989.0]","[1525.0, 1958]","[1525.0, 2020]","[1496, 1989.0]","[1554, 1989.0]","[36.62308015445998, 288]","[64.9172550251472, 256]","[99.11861580954407, 287]","[82.68313008105099, 250]",13
250,250,"(1576, 1955)","(1697, 2034)","[1636.5, 1994.5]","[1636.5, 1955]","[1636.5, 2034]","[1576, 1994.5]","[1697, 1994.5]","[41.246211947280685, 289]","[43.99147644714826, 257]","[83.35466393669883, 288]","[97.09788875150684, 290]",13
251,251,"(1723, 1962)","(1873, 2023)","[1798.0, 1992.5]","[1798.0, 1962]","[1798.0, 2023]","[1723, 1992.5]","[1873, 1992.5]","[69.65091528472544, 290]","[59.70343373709757, 258]","[86.52311829794394, 250]","[77.05841939723393, 259]",13
252,252,"(1931, 1955)","(1989, 2034)","[1960.0, 1994.5]","[1960.0, 1955]","[1960.0, 2034]","[1931, 1994.5]","[1989, 1994.5]","[44.90267252625394, 291]","[90.62284480195929, 260]","[93.00537618869137, 259]","[71.5, 253]",13
253,253,"(2011, 1955)","(2110, 2034)","[2060.5, 1994.5]","[2060.5, 1955]","[2060.5, 2034]","[2011, 1994.5]","[2110, 1994.5]","[55.563027275338406, 292]","[41.59627387158614, 260]","[109.17188282703565, 291]","[43.603325561245896, 254]",13
254,254,"(2134, 1972)","(2173, 2023)","[2153.5, 1997.5]","[2153.5, 1972]","[2153.5, 2023]","[2134, 1997.5]","[2173, 1997.5]","[62.61988502065458, 294]","[46.56715580750021, 261]","[91.39474820797966, 293]","[69.85162847063768, 255]",13
255,255,"(2199, 1958)","(2286, 2023)","[2242.5, 1990.5]","[2242.5, 1958]","[2242.5, 2023]","[2199, 1990.5]","[2286, 1990.5]","[50.81830378908765, 295]","[54.25172808307584, 262]","[77.24797731979783, 294]","[156.41611170208776, 261]",13
256,256,"(1390, 2044)","(1576, 2095)","[1483.0, 2069.5]","[1483.0, 2044]","[1483.0, 2095]","[1390, 2069.5]","[1576, 2069.5]","[121.69326193343656, 263]","[129.65338406690356, 264]","[158.98506219138955, 287]","[83.5239486614468, 257]",13
257,257,"(1610, 2044)","(1709, 2099)","[1659.5, 2071.5]","[1659.5, 2044]","[1659.5, 2099]","[1610, 2071.5]","[1709, 2071.5]","[115.66006225140984, 265]","[90.88041593214679, 264]","[118.45357740482133, 249]","[62.69968101992226, 258]",13
258,258,"(1738, 2041)","(1805, 2112)","[1771.5, 2076.5]","[1771.5, 2041]","[1771.5, 2112]","[1738, 2076.5]","[1805, 2076.5]","[108.3166653844181, 259]","[48.075461516245475, 266]","[90.98488885523794, 265]","[163.50305807537669, 340]",13
259,259,"(1830, 2037)","(1922, 2102)","[1876.0, 2069.5]","[1876.0, 2037]","[1876.0, 2102]","[1830, 2069.5]","[1922, 2069.5]","[125.50796787455369, 291]","[98.47842403288143, 266]","[156.882918126863, 267]","[120.51659636747131, 260]",13
260,260,"(1977, 2034)","(2108, 2109)","[2042.5, 2071.5]","[2042.5, 2034]","[2042.5, 2109]","[1977, 2071.5]","[2108, 2071.5]","[114.15997547301768, 261]","[91.54370540894661, 267]","[156.21939700306106, 291]","[85.09406559801923, 268]",13
261,261,"(2129, 2037)","(2173, 2102)","[2151.0, 2069.5]","[2151.0, 2037]","[2151.0, 2102]","[2129, 2069.5]","[2173, 2069.5]","[91.46857383823145, 262]","[51.44171459039833, 268]","[101.573864748763, 253]","[109.90222927675308, 269]",13
262,262,"(2195, 2041)","(2272, 2112)","[2233.5, 2076.5]","[2233.5, 2041]","[2233.5, 2112]","[2195, 2076.5]","[2272, 2076.5]","[91.06179220726989, 254]","[45.39823785126467, 269]","[94.81033698917012, 268]","[168.96153408394468, 295]",13
263,263,"(1385, 2133)","(1535, 2194)","[1460.0, 2163.5]","[1460.0, 2133]","[1460.0, 2194]","[1385, 2163.5]","[1535, 2163.5]","[112.5, 334]","[121.5370313937279, 336]","[177.6091213873882, 248]","[59.01906471641176, 264]",13
264,264,"(1557, 2136)","(1631, 2188)","[1594.0, 2162.0]","[1594.0, 2136]","[1594.0, 2188]","[1557, 2162.0]","[1631, 2162.0]","[99.82484660644363, 265]","[48.75705077217038, 335]","[127.98925736170204, 334]","[149.54012839368568, 338]",13
265,265,"(1651, 2119)","(1733, 2191)","[1692.0, 2155.0]","[1692.0, 2119]","[1692.0, 2191]","[1651, 2155.0]","[1733, 2155.0]","[107.2240644631605, 266]","[96.44946863513557, 340]","[105.37670520565729, 335]","[158.18106713510312, 339]",13
266,266,"(1752, 2119)","(1834, 2191)","[1793.0, 2155.0]","[1793.0, 2119]","[1793.0, 2191]","[1752, 2155.0]","[1834, 2155.0]","[119.64321961565561, 340]","[131.964010245218, 341]","[124.61340216846662, 257]","[128.5087545655937, 267]",13
267,267,"(1851, 2123)","(2074, 2184)","[1962.5, 2153.5]","[1962.5, 2123]","[1962.5, 2184]","[1851, 2153.5]","[2074, 2153.5]","[123.39469194418372, 341]","[118.29835163686771, 342]","[110.67632989939628, 258]","[63.0317380372777, 268]",13
268,268,"(2091, 2119)","(2183, 2184)","[2137.0, 2151.5]","[2137.0, 2119]","[2137.0, 2184]","[2091, 2151.5]","[2183, 2151.5]","[109.31719901278115, 269]","[85.30093786119822, 342]","[153.56594674601527, 346]","[93.03897032964197, 343]",13
269,269,"(2197, 2123)","(2282, 2191)","[2239.5, 2157.0]","[2239.5, 2123]","[2239.5, 2191]","[2197, 2157.0]","[2282, 2157.0]","[116.40983635415007, 343]","[121.87801278327441, 347]","[150.15408752345039, 342]","[171.12130200533187, 255]",13
270,270,"(314, 1866)","(382, 1931)","[348.0, 1898.5]","[348.0, 1866]","[348.0, 1931]","[314, 1898.5]","[382, 1898.5]","[106.09547586961472, 271]","[50.202091589892945, 276]","[171.0263137648707, 225]","[126.0634760745554, 277]",4
271,271,"(399, 1859)","(498, 1941)","[448.5, 1900.0]","[448.5, 1859]","[448.5, 1941]","[399, 1900.0]","[498, 1900.0]","[110.92339699089638, 272]","[49.78453575157651, 277]","[93.39834045634858, 276]","[73.70549504616328, 273]",4
272,272,"(524, 1873)","(573, 1941)","[548.5, 1907.0]","[548.5, 1873]","[548.5, 1941]","[524, 1907.0]","[573, 1907.0]","[39.81519810323691, 273]","[56.00223209837265, 278]","[89.4664741677015, 277]","[65.06919393998976, 274]",4
273,273,"(561, 1880)","(582, 1931)","[571.5, 1905.5]","[571.5, 1880]","[571.5, 1931]","[561, 1905.5]","[582, 1905.5]","[70.69830266703721, 274]","[58.71328640095017, 278]","[114.69088891450794, 277]","[125.01599897613104, 275]",4
274,274,"(611, 1870)","(665, 1938)","[638.0, 1904.0]","[638.0, 1870]","[638.0, 1938]","[611, 1904.0]","[665, 1904.0]","[76.70234676983489, 275]","[80.2153351922187, 278]","[109.00688051678206, 235]","[111.39681323987683, 282]",4
275,275,"(686, 1866)","(728, 1941)","[707.0, 1903.5]","[707.0, 1866]","[707.0, 1941]","[686, 1903.5]","[728, 1903.5]","[123.56071382118185, 282]","[129.81236458827794, 283]","[137.5445382412548, 272]","[158.14550262337528, 229]",4
276,276,"(309, 1945)","(396, 2017)","[352.5, 1981.0]","[352.5, 1945]","[352.5, 2017]","[309, 1981.0]","[396, 1981.0]","[126.50889296804395, 296]","[115.69356075426151, 297]","[167.00673639108095, 277]","[156.5391324876946, 304]",4
277,277,"(408, 1945)","(544, 2020)","[476.0, 1982.5]","[476.0, 1945]","[476.0, 2020]","[408, 1982.5]","[544, 1982.5]","[109.91132789662765, 278]","[44.1955880150949, 297]","[104.10091258005379, 296]","[79.41190087134295, 298]",4
278,278,"(558, 1952)","(595, 2027)","[576.5, 1989.5]","[576.5, 1952]","[576.5, 2027]","[558, 1989.5]","[595, 1989.5]","[110.91100035614141, 298]","[120.20087354091899, 305]","[121.7148306493502, 297]","[141.20906486483082, 275]",4
279,279,"(834, 1883)","(1027, 1945)","[930.5, 1914.0]","[930.5, 1883]","[930.5, 1945]","[834, 1914.0]","[1027, 1914.0]","[104.73418735064497, 284]","[107.26835507268675, 283]","[115.90621208546158, 282]","[57.36941693969009, 280]",4
280,280,"(1051, 1880)","(1117, 1935)","[1084.0, 1907.5]","[1084.0, 1880]","[1084.0, 1935]","[1051, 1907.5]","[1117, 1907.5]","[85.63439729454514, 281]","[55.13846207503434, 285]","[137.74795824258157, 286]","[161.31026005806325, 232]",4
281,281,"(1136, 1870)","(1199, 1928)","[1167.5, 1899.0]","[1167.5, 1870]","[1167.5, 1928]","[1136, 1899.0]","[1199, 1899.0]","[111.0, 286]","[124.10680883819388, 285]","[174.1615629236256, 303]","[230.89229090638779, 302]",4
282,282,"(696, 1952)","(788, 2017)","[742.0, 1984.5]","[742.0, 1952]","[742.0, 2017]","[696, 1984.5]","[788, 1984.5]","[93.13565375300696, 283]","[61.21478579559027, 299]","[119.60455676938065, 278]","[113.89907813498755, 300]",4
283,283,"(802, 1952)","(858, 2013)","[830.0, 1982.5]","[830.0, 1952]","[830.0, 2013]","[802, 1982.5]","[858, 1982.5]","[100.01249921884764, 284]","[64.2748006609122, 300]","[122.57650672131263, 299]","[119.3367085183767, 301]",4
284,284,"(873, 1962)","(974, 2013)","[923.5, 1987.5]","[923.5, 1962]","[923.5, 2013]","[873, 1987.5]","[974, 1987.5]","[110.3913492987562, 301]","[72.15608082483416, 300]","[131.03434664239754, 282]","[82.15229759416349, 285]",4
285,285,"(991, 1952)","(1121, 2013)","[1056.0, 1982.5]","[1056.0, 1952]","[1056.0, 2013]","[991, 1982.5]","[1121, 1982.5]","[113.93090011054946, 302]","[94.10765112359356, 303]","[91.39201278011114, 279]","[46.52418725781247, 286]",4
286,286,"(1136, 1952)","(1199, 2010)","[1167.5, 1981.0]","[1167.5, 1952]","[1167.5, 2010]","[1136, 1981.0]","[1199, 1981.0]","[127.12985487288185, 303]","[140.50088967689848, 302]","[165.8651560756508, 310]","[233.69210512980536, 239]",4
287,287,"(1392, 1890)","(1467, 1941)","[1429.5, 1915.5]","[1429.5, 1890]","[1429.5, 1941]","[1392, 1915.5]","[1467, 1915.5]","[109.43719660152118, 288]","[213.2164393286784, 289]","[256.9460060012609, 250]","[198.3362044610111, 242]",13
288,288,"(1482, 1883)","(1586, 1962)","[1534.0, 1922.5]","[1534.0, 1883]","[1534.0, 1962]","[1482, 1922.5]","[1586, 1922.5]","[111.40017953306898, 289]","[118.98424265422712, 256]","[231.7482470268114, 257]","[163.3064603743526, 290]",13
289,289,"(1593, 1873)","(1689, 1955)","[1641.0, 1914.0]","[1641.0, 1873]","[1641.0, 1955]","[1593, 1914.0]","[1689, 1914.0]","[114.99673908420186, 290]","[117.95973889425154, 257]","[101.23734488813898, 249]","[134.325165177639, 251]",13
290,290,"(1702, 1880)","(1796, 1945)","[1749.0, 1912.5]","[1749.0, 1880]","[1749.0, 1945]","[1702, 1912.5]","[1796, 1912.5]","[184.5785740545202, 291]","[133.41101903516065, 258]","[164.5820464084707, 257]","[176.207264322445, 259]",13
291,291,"(1897, 1894)","(1960, 1952)","[1928.5, 1923.0]","[1928.5, 1894]","[1928.5, 1952]","[1897, 1923.0]","[1960, 1923.0]","[96.59321922371156, 292]","[136.64003805620078, 251]","[176.97598707169286, 243]","[146.5341257182094, 293]",13
292,292,"(1975, 1880)","(2071, 1948)","[2023.0, 1914.0]","[2023.0, 1880]","[2023.0, 1948]","[1975, 1914.0]","[2071, 1914.0]","[88.4265231703701, 293]","[78.30229881682912, 252]","[171.35489488193792, 260]","[109.51027349066388, 294]",13
293,293,"(2083, 1880)","(2129, 1941)","[2106.0, 1910.5]","[2106.0, 1880]","[2106.0, 1941]","[2083, 1910.5]","[2129, 1910.5]","[82.52575355608697, 294]","[70.23175919767353, 253]","[127.3979984144178, 247]","[125.01599897613104, 295]",13
294,294,"(2137, 1873)","(2224, 1958)","[2180.5, 1915.5]","[2180.5, 1873]","[2180.5, 1958]","[2137, 1915.5]","[2224, 1915.5]","[81.62413858657254, 295]","[115.33646431202926, 261]","[109.96931390165167, 253]","[161.28003596229757, 262]",13
295,295,"(2231, 1876)","(2277, 1941)","[2254.0, 1908.5]","[2254.0, 1876]","[2254.0, 1941]","[2231, 1908.5]","[2277, 1908.5]","[157.67847031221478, 254]","[164.68530596261465, 261]","[190.9613835308071, 253]","[251.31354917711857, 269]",13
296,296,"(309, 2044)","(399, 2099)","[354.0, 2071.5]","[354.0, 2044]","[354.0, 2099]","[309, 2071.5]","[399, 2071.5]","[101.1162697096763, 304]","[112.13496332544993, 297]","[159.50078369713424, 311]","[157.350722909048, 298]",4
297,297,"(416, 2027)","(503, 2095)","[459.5, 2061.0]","[459.5, 2027]","[459.5, 2095]","[416, 2061.0]","[503, 2061.0]","[102.31446623034302, 298]","[79.34261150226907, 304]","[152.85614151874958, 305]","[160.58097645736248, 272]",4
298,298,"(520, 2027)","(592, 2095)","[556.0, 2061.0]","[556.0, 2027]","[556.0, 2095]","[520, 2061.0]","[592, 2061.0]","[116.52038448271615, 305]","[129.1559135308949, 313]","[148.68927331855517, 304]","[129.51158249361328, 306]",4
299,299,"(611, 2044)","(831, 2105)","[721.0, 2074.5]","[721.0, 2044]","[721.0, 2105]","[611, 2074.5]","[831, 2074.5]","[104.88207663848004, 306]","[98.28657080191576, 307]","[56.632587791835896, 298]","[41.7612260356422, 300]",4
300,300,"(848, 2030)","(894, 2095)","[871.0, 2062.5]","[871.0, 2030]","[871.0, 2095]","[848, 2062.5]","[894, 2062.5]","[78.38686114394427, 301]","[56.870466852312724, 308]","[89.96110270555825, 307]","[134.30003723007675, 309]",4
301,301,"(911, 2034)","(964, 2109)","[937.5, 2071.5]","[937.5, 2034]","[937.5, 2109]","[911, 2071.5]","[964, 2071.5]","[105.02618721061904, 302]","[52.36888389110465, 308]","[115.33646431202926, 309]","[128.00390619039717, 285]",4
302,302,"(986, 2037)","(1090, 2092)","[1038.0, 2064.5]","[1038.0, 2037]","[1038.0, 2092]","[986, 2064.5]","[1090, 2064.5]","[97.39738189499757, 303]","[62.71562803639935, 309]","[99.17282894018905, 284]","[89.15716460273958, 310]",4
303,303,"(1109, 2030)","(1148, 2116)","[1128.5, 2073.0]","[1128.5, 2030]","[1128.5, 2116]","[1109, 2073.0]","[1148, 2073.0]","[116.55256324937689, 310]","[125.72390385284733, 318]","[128.281916106675, 309]","[177.4436530282219, 280]",4
304,304,"(309, 2105)","(476, 2170)","[392.5, 2137.5]","[392.5, 2105]","[392.5, 2170]","[309, 2137.5]","[476, 2137.5]","[131.10301293257908, 311]","[81.76337811025178, 312]","[171.12130200533187, 348]","[69.21885581256021, 305]",4
305,305,"(498, 2109)","(592, 2177)","[545.0, 2143.0]","[545.0, 2109]","[545.0, 2177]","[498, 2143.0]","[592, 2143.0]","[116.98824727296328, 313]","[103.76897416858277, 312]","[160.77390957490584, 296]","[99.0113629842555, 306]",4
306,306,"(616, 2119)","(766, 2170)","[691.0, 2144.5]","[691.0, 2119]","[691.0, 2170]","[616, 2144.5]","[766, 2144.5]","[117.16761497956678, 314]","[82.43937166184614, 315]","[91.92388155425118, 313]","[45.0, 307]",4
307,307,"(788, 2112)","(834, 2177)","[811.0, 2144.5]","[811.0, 2112]","[811.0, 2177]","[788, 2144.5]","[834, 2144.5]","[93.80964769148214, 308]","[83.41612553937038, 315]","[144.0850443314642, 316]","[126.65405638983695, 301]",4
308,308,"(853, 2112)","(945, 2177)","[899.0, 2144.5]","[899.0, 2112]","[899.0, 2177]","[853, 2144.5]","[945, 2144.5]","[107.08524641611467, 309]","[48.74679476642541, 316]","[136.49908424601244, 315]","[122.67436570041843, 302]",4
309,309,"(964, 2109)","(1039, 2177)","[1001.5, 2143.0]","[1001.5, 2109]","[1001.5, 2177]","[964, 2143.0]","[1039, 2143.0]","[124.06449935416659, 317]","[105.54619841567009, 316]","[153.00735276449953, 307]","[86.07119146381093, 310]",4
310,310,"(1056, 2109)","(1194, 2184)","[1125.0, 2146.5]","[1125.0, 2109]","[1125.0, 2184]","[1056, 2146.5]","[1194, 2146.5]","[133.16624947786133, 318]","[89.44970653948508, 317]","[140.23997290359122, 301]","[165.27628384012027, 356]",4
311,311,"(312, 2198)","(377, 2256)","[344.5, 2227.0]","[344.5, 2198]","[344.5, 2256]","[312, 2227.0]","[377, 2227.0]","[109.65856099730654, 348]","[97.93109822727406, 349]","[141.01418368376991, 312]","[160.01406188207335, 350]",4
312,312,"(401, 2191)","(505, 2259)","[453.0, 2225.0]","[453.0, 2191]","[453.0, 2259]","[401, 2225.0]","[505, 2225.0]","[116.98824727296328, 349]","[79.45124291035351, 350]","[106.8468530187015, 348]","[64.01757571167468, 313]",4
313,313,"(524, 2191)","(614, 2256)","[569.0, 2223.5]","[569.0, 2191]","[569.0, 2256]","[524, 2223.5]","[614, 2223.5]","[94.6374661537385, 314]","[77.78495998584816, 350]","[125.49501982150527, 349]","[99.60547173724946, 351]",4
314,314,"(638, 2205)","(672, 2256)","[655.0, 2230.5]","[655.0, 2205]","[655.0, 2256]","[638, 2230.5]","[672, 2230.5]","[95.46858121916341, 315]","[55.01363467359705, 351]","[127.69201227954707, 305]","[134.80448805585073, 352]",4
315,315,"(696, 2205)","(798, 2256)","[747.0, 2230.5]","[747.0, 2205]","[747.0, 2256]","[696, 2230.5]","[798, 2230.5]","[110.69101137852161, 352]","[100.55098209366231, 351]","[127.1927670899568, 313]","[109.63804084349556, 316]",4
316,316,"(819, 2194)","(996, 2256)","[907.5, 2225.0]","[907.5, 2194]","[907.5, 2256]","[819, 2225.0]","[996, 2225.0]","[114.84446003181868, 353]","[78.15529412650176, 354]","[93.7683315410912, 352]","[49.5, 317]",4
317,317,"(1018, 2194)","(1073, 2256)","[1045.5, 2225.0]","[1045.5, 2194]","[1045.5, 2256]","[1018, 2225.0]","[1073, 2225.0]","[110.7361729517505, 318]","[61.29437168288782, 355]","[104.15613280071415, 354]","[131.94885372749548, 356]",4
318,318,"(1100, 2208)","(1192, 2273)","[1146.0, 2240.5]","[1146.0, 2208]","[1146.0, 2273]","[1100, 2240.5]","[1192, 2240.5]","[106.12492638395562, 356]","[74.68768305416899, 355]","[138.59473294465414, 309]","[149.76815415835236, 327]",4
319,319,"(305, 2345)","(372, 2423)","[338.5, 2384.0]","[338.5, 2345]","[338.5, 2423]","[305, 2384.0]","[372, 2384.0]","[38.47076812334269, 348]","[54.811039034121585, 328]","[120.5508191593902, 320]","[97.01159724486553, 349]",4
320,320,"(382, 2352)","(469, 2423)","[425.5, 2387.5]","[425.5, 2352]","[425.5, 2423]","[382, 2387.5]","[469, 2387.5]","[46.63153439465616, 349]","[60.82968025561206, 328]","[94.50132274206535, 348]","[51.119956963988145, 321]",4
321,321,"(479, 2348)","(561, 2420)","[520.0, 2384.0]","[520.0, 2348]","[520.0, 2420]","[479, 2384.0]","[561, 2384.0]","[38.05916446797013, 350]","[49.99249943741561, 329]","[93.07120929696788, 349]","[85.34781778112432, 322]",4
322,322,"(568, 2365)","(723, 2427)","[645.5, 2396.0]","[645.5, 2365]","[645.5, 2427]","[568, 2396.0]","[723, 2396.0]","[57.089841478147406, 351]","[46.6074028454708, 330]","[84.16204607778973, 329]","[43.142206712220926, 323]",4
323,323,"(732, 2355)","(800, 2430)","[766.0, 2392.5]","[766.0, 2355]","[766.0, 2430]","[732, 2392.5]","[800, 2392.5]","[46.80277769534624, 352]","[41.58425182686349, 331]","[107.49069727190349, 351]","[55.724770075793046, 324]",4
324,324,"(807, 2355)","(904, 2420)","[855.5, 2387.5]","[855.5, 2355]","[855.5, 2420]","[807, 2387.5]","[904, 2387.5]","[57.41297762701391, 353]","[77.89736837660179, 332]","[81.43248737451165, 352]","[33.185087012090236, 325]",4
